imię i nazwisko,hyd_1e,kor_1e,nad_1e,nim_1e,par_1e,suma1,swi*_2e,dro_2e,zaj_2e,ark_2e,wca_2e,suma2,row*_3e,pos_3e,pra_3e,zyw_3e,klu_3e,nie_3e,par_3e,suma3
Piotr Bartosz Mitosek,0.0,0.0,0.0,19.0,66.0,85.0,,,,,,,,,,,,,,
Piotr Borowski,0.0,26.0,15.0,28.0,78.0,147.0,50.0,28.0,100.0,15.0,10.0,153.0,100.0,81.0,100.0,25.0,10.0,0.0,100.0,316.0
Piotr Bujakowski,0.0,82.0,0.0,0.0,100.0,182.0,50.0,57.0,27.0,25.0,10.0,119.0,100.0,6.0,10.0,100.0,16.0,0.0,100.0,232.0
Piotr Gainski,0.0,50.0,0.0,0.0,33.0,83.0,,,,,,,,,,,,,,
Piotr Grabowski,0.0,7.0,15.0,100.0,100.0,222.0,50.0,28.0,48.0,50.0,10.0,136.0,100.0,61.0,100.0,100.0,38.0,20.0,100.0,419.0
Piotr Janczyk,21.0,0.0,100.0,25.0,100.0,246.0,,,,,,,,,,,,,,
Piotr Kowalewski,0.0,70.0,100.0,100.0,100.0,370.0,50.0,28.0,58.0,50.0,10.0,146.0,100.0,100.0,100.0,100.0,38.0,20.0,100.0,458.0
Piotr Kuczko,0.0,95.0,100.0,91.0,100.0,386.0,57.0,57.0,48.0,25.0,20.0,150.0,10.0,80.0,0.0,100.0,0.0,0.0,100.0,280.0
Piotr Nojszewski,0.0,10.0,0.0,0.0,66.0,76.0,,,,,,,,,,,,,,
Piotr Olczak,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Piotr Pawlak,100.0,70.0,100.0,91.0,100.0,461.0,50.0,28.0,58.0,100.0,100.0,286.0,35.0,0.0,100.0,100.0,38.0,0.0,100.0,338.0
Piotr Sowinski,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Piotr Strycharski,0.0,4.0,0.0,100.0,100.0,204.0,,,,,,,,,,,,,,
Piotr Wojcik,0.0,10.0,100.0,0.0,100.0,210.0,,,,,,,,,,,,,,
Piotr Wojtczak,0.0,15.0,0.0,91.0,100.0,206.0,,,,,,,,,,,,,,
Piotr Zielinski,0.0,50.0,100.0,0.0,0.0,150.0,,,,,,,,,,,,,,
Piotr Zurek,0.0,50.0,100.0,0.0,78.0,228.0,,,,,,,,,,,,,,
Przemyslaw Czerwinski,0.0,9.0,15.0,10.0,66.0,100.0,,,,,,,,,,,,,,
Przemyslaw Podlesny,0.0,45.0,0.0,10.0,99.0,154.0,,,,,,,,,,,,,,
Przemyslaw Szpakowicz,0.0,49.0,0.0,19.0,60.0,128.0,,,,,,,,,,,,,,
Radek Rowicki,0.0,30.0,15.0,10.0,66.0,121.0,,,,,,,,,,,,,,
Radoslaw Wasko,38.0,65.0,84.0,10.0,100.0,297.0,,,,,,,,,,,,,,
Rafal Banas,0.0,81.0,12.0,80.0,0.0,173.0,,,,,,,,,,,,,,
Rafal Czarnecki,0.0,50.0,100.0,0.0,44.0,194.0,,,,,,,,,,,,,,
Rafal Kaszuba,100.0,99.0,100.0,29.0,100.0,428.0,50.0,57.0,62.0,0.0,10.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafal Lewanczyk,0.0,2.0,0.0,10.0,66.0,78.0,,,,,,,,,,,,,,
Rafal Lyzwa,0.0,84.0,0.0,84.0,44.0,212.0,0.0,28.0,0.0,0.0,100.0,128.0,100.0,12.0,100.0,100.0,32.0,0.0,100.0,344.0
Rafal Maj,0.0,94.0,100.0,73.0,100.0,367.0,,,,,,,,,,,,,,
Rafal Pragacz,0.0,0.0,0.0,0.0,100.0,100.0,50.0,28.0,34.0,7.0,100.0,169.0,100.0,32.0,100.0,0.0,10.0,0.0,100.0,242.0
Rafal Tatarczuk,0.0,4.0,0.0,58.0,94.0,156.0,,,,,,,,,,,,,,
Rafal Trypus,0.0,100.0,0.0,91.0,100.0,291.0,,,,,,,,,,,,,,
Robert Laskowski,0.0,74.0,100.0,0.0,66.0,240.0,50.0,28.0,48.0,25.0,10.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Michna,0.0,70.0,0.0,0.0,100.0,170.0,,,,,,,,,,,,,,
Robert Okula,0.0,2.0,0.0,0.0,100.0,102.0,,,,,,,,,,,,,,
Sebastian Ksiazczyk,0.0,56.0,0.0,100.0,94.0,250.0,50.0,57.0,20.0,25.0,10.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seweryn Ziemski,0.0,30.0,0.0,0.0,76.0,106.0,,,,,,,,,,,,,,
Stanislaw Denkowski,0.0,0.0,0.0,10.0,66.0,76.0,,,,,,,,,,,,,,
Stanislaw Gutowski,0.0,4.0,15.0,0.0,100.0,119.0,,,,,,,,,,,,,,
Stanislaw Koza,21.0,4.0,15.0,10.0,100.0,150.0,,,,,,,,,,,,,,
Stanislaw Kurdzialek,0.0,81.0,0.0,100.0,0.0,181.0,,,,,,,,,,,,,,
Stanislaw Strzelecki,0.0,29.0,100.0,90.0,60.0,279.0,50.0,28.0,58.0,25.0,10.0,121.0,95.0,100.0,15.0,100.0,70.0,0.0,100.0,385.0
Stanislaw Szczesniak,11.0,80.0,100.0,100.0,100.0,391.0,0.0,28.0,58.0,0.0,10.0,96.0,100.0,70.0,100.0,100.0,0.0,100.0,100.0,470.0
Szymon Gajda,0.0,36.0,100.0,0.0,55.0,191.0,,,,,,,,,,,,,,
Szymon Kapala,70.0,87.0,100.0,0.0,100.0,357.0,50.0,28.0,72.0,0.0,10.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Szymon Katra,0.0,4.0,0.0,7.0,66.0,77.0,,,,,,,,,,,,,,
Szymon Kiczak,0.0,0.0,0.0,71.0,66.0,137.0,,,,,,,,,,,,,,
Szymon Stolarczyk,0.0,0.0,100.0,10.0,100.0,210.0,,,,,,,,,,,,,,
Szymon Tworkowski,0.0,76.0,100.0,71.0,49.0,296.0,,,,,,,,,,,,,,
Szymon Zwara,0.0,0.0,60.0,0.0,65.0,125.0,,,,,,,,,,,,,,
Szymon olearczuk,0.0,4.0,15.0,10.0,100.0,129.0,,,,,,,,,,,,,,
Tomasz Czyz,0.0,0.0,0.0,0.0,94.0,94.0,,,,,,,,,,,,,,
Tomasz Grzeskiewicz,0.0,81.0,100.0,19.0,100.0,300.0,54.0,57.0,100.0,25.0,10.0,192.0,100.0,100.0,0.0,100.0,11.0,0.0,100.0,311.0
Tomasz Homoncik,0.0,7.0,0.0,10.0,66.0,83.0,,,,,,,,,,,,,,
Tomasz Kanas,21.0,24.0,15.0,10.0,100.0,170.0,0.0,28.0,58.0,50.0,10.0,146.0,99.0,0.0,10.0,100.0,10.0,0.0,100.0,220.0
Tomasz Kosciuszko,0.0,100.0,0.0,53.0,100.0,253.0,0.0,100.0,100.0,50.0,10.0,260.0,0.0,100.0,100.0,100.0,31.0,0.0,100.0,431.0
Tomasz Madej,0.0,48.0,100.0,0.0,100.0,248.0,50.0,28.0,30.0,25.0,10.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomasz Nowak,0.0,81.0,0.0,86.0,100.0,267.0,0.0,28.0,72.0,25.0,10.0,135.0,,,,,,,,
Tomasz Nowak (Warszawa),,,,,,,,,,,,,100.0,6.0,100.0,75.0,5.0,10.0,100.0,296.0
Tomasz Ponitka,0.0,93.0,100.0,100.0,55.0,348.0,100.0,57.0,72.0,0.0,10.0,139.0,100.0,6.0,0.0,100.0,10.0,10.0,100.0,226.0
Tomasz Zalewski,0.0,100.0,0.0,91.0,100.0,291.0,,,,,,,,,,,,,,
Tomasz Zielinski,100.0,97.0,0.0,8.0,100.0,305.0,50.0,15.0,10.0,25.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tymon Solecki,0.0,56.0,0.0,60.0,0.0,116.0,,,,,,,,,,,,,,
Wiktor Marszalkowski,100.0,4.0,0.0,91.0,66.0,261.0,,,,,,,,,,,,,,
Wiktoria Kosny,100.0,70.0,100.0,28.0,100.0,398.0,100.0,0.0,30.0,50.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Witalis Domitrz,0.0,0.0,100.0,0.0,100.0,200.0,,,,,,,,,,,,,,
Wojciech Baczkowski,0.0,4.0,15.0,80.0,100.0,199.0,,,,,,,,,,,,,,
Wojciech Buczek,21.0,0.0,0.0,0.0,78.0,99.0,,,,,,,,,,,,,,
Wojciech Geisler,0.0,29.0,0.0,0.0,100.0,129.0,,,,,,,,,,,,,,
Wojciech Golaszewski,0.0,50.0,15.0,10.0,100.0,175.0,0.0,57.0,0.0,25.0,10.0,92.0,100.0,32.0,100.0,0.0,0.0,20.0,53.0,205.0
Wojciech Mitros,0.0,0.0,100.0,0.0,100.0,200.0,,,,,,,,,,,,,,
Wojciech Przybyszewski,21.0,46.0,100.0,0.0,95.0,262.0,,,,,,,,,,,,,,
Wojciech Strankowski,0.0,98.0,0.0,0.0,91.0,189.0,,,,,,,,,,,,,,
Wojciech Szwarc,0.0,49.0,100.0,0.0,100.0,249.0,,,,,,,,,,,,,,
Wojciech Szymanski,0.0,50.0,0.0,0.0,100.0,150.0,,,,,,,,,,,,,,
Zofia Marciniak,0.0,4.0,0.0,28.0,94.0,126.0,,,,,,,,,,,,,,
Zuzanna Opala,0.0,66.0,0.0,0.0,33.0,99.0,,,,,,,,,,,,,,
