imię i nazwisko,ban_1e,pun_1e,sam_1e,ska_1e,sko_1e,suma1,lot*_2e,ban_2e,sum_2e,kos_2e,sza_2e,suma2,dzi*_3e,akc_3e,dwa_3e,dwu_3e,aut_3e,lus_3e,pra_3e,suma3
Pawel Blokus,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Pawel Borkowski,100.0,50.0,100.0,100.0,10.0,360.0,,,,,,,,,,,,,,
Pawel Dobrzycki,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Pawel Foremski,24.0,30.0,100.0,100.0,0.0,254.0,,,,,,,,,,,,,,
Pawel Gebal,83.0,0.0,100.0,100.0,100.0,383.0,,,,,,,,,,,,,,
Pawel Hajdan jr,67.0,0.0,100.0,100.0,0.0,267.0,,,,,,,,,,,,,,
Pawel Kapica,79.0,0.0,100.0,100.0,0.0,279.0,,,,,,,,,,,,,,
Pawel Konieczny,100.0,0.0,70.0,100.0,0.0,270.0,,,,,,,,,,,,,,
Pawel Kruszelnicki,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Pawel Mlocek,0.0,70.0,100.0,100.0,100.0,370.0,,,,,,,,,,,,,,
Pawel Pajak,100.0,10.0,100.0,100.0,10.0,320.0,,,,,,,,,,,,,,
Pawel Stankowski,100.0,0.0,0.0,100.0,90.0,290.0,,,,,,,,,,,,,,
Pawel Szczur,0.0,0.0,70.0,100.0,80.0,250.0,,,,,,,,,,,,,,
Pawel Szwaracki,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Pawel Wiejacha,100.0,0.0,100.0,100.0,90.0,390.0,,,,,,,,,,,,,,
Pawel Wisniewski,100.0,20.0,100.0,100.0,100.0,420.0,,,,,,,,,,,,,,
Pawel Zaborski,100.0,90.0,100.0,100.0,100.0,490.0,100.0,78.0,90.0,0.0,48.0,216.0,40.0,100.0,0.0,20.0,100.0,0.0,0.0,220.0
Piotr Andryszek,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Piotr Bialas,100.0,0.0,0.0,93.0,100.0,293.0,,,,,,,,,,,,,,
Piotr Caban,80.0,10.0,100.0,100.0,90.0,380.0,,,,,,,,,,,,,,
Piotr Gurgul,100.0,40.0,100.0,100.0,100.0,440.0,35.0,100.0,0.0,30.0,50.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piotr Jastrzebski,100.0,30.0,100.0,100.0,50.0,380.0,40.0,59.0,40.0,58.0,42.0,199.0,20.0,0.0,5.0,6.0,100.0,0.0,9.0,120.0
Piotr Kiec,100.0,60.0,100.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Piotr Kozierski,0.0,70.0,10.0,100.0,90.0,270.0,,,,,,,,,,,,,,
Piotr Kwasizur,100.0,10.0,100.0,100.0,0.0,310.0,,,,,,,,,,,,,,
Piotr Lenarcik,100.0,40.0,100.0,100.0,80.0,420.0,,,,,,,,,,,,,,
Piotr Niedzwiedz,100.0,10.0,50.0,100.0,0.0,260.0,,,,,,,,,,,,,,
Piotr Nowojski,0.0,60.0,100.0,100.0,0.0,260.0,,,,,,,,,,,,,,
Piotr Plonka,46.0,40.0,40.0,100.0,100.0,326.0,,,,,,,,,,,,,,
Piotr Sienkiewicz,100.0,40.0,100.0,76.0,40.0,356.0,,,,,,,,,,,,,,
Piotr Sikora,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Piotr Swigon,100.0,80.0,100.0,100.0,80.0,460.0,40.0,20.0,100.0,100.0,31.0,251.0,0.0,96.0,0.0,100.0,90.0,0.0,0.0,286.0
Piotr Szawdynski,18.0,70.0,66.0,100.0,0.0,254.0,,,,,,,,,,,,,,
Piotr Szczepanski,100.0,45.0,70.0,100.0,10.0,325.0,,,,,,,,,,,,,,
Piotr Szmigiel,100.0,50.0,100.0,100.0,100.0,450.0,100.0,88.0,60.0,100.0,75.0,323.0,100.0,0.0,5.0,100.0,100.0,0.0,9.0,214.0
Piotr Tomiak,100.0,0.0,70.0,100.0,0.0,270.0,,,,,,,,,,,,,,
Piotr Zielinski,100.0,60.0,100.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Piotrek Kaleta,100.0,60.0,100.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Przemek Witek,100.0,10.0,100.0,100.0,100.0,410.0,,,,,,,,,,,,,,
Przemyslaw Glowacki,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Przemyslaw Kosiak,100.0,90.0,100.0,100.0,100.0,490.0,100.0,100.0,60.0,8.0,50.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przemyslaw Krajewski,100.0,30.0,100.0,100.0,100.0,430.0,,,,,,,,,,,,,,
Przemyslaw Misiewicz,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Przemyslaw Witek,,,,,,,97.0,95.0,80.0,23.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przemyslaw Zych,94.0,90.0,80.0,100.0,10.0,374.0,,,,,,,,,,,,,,
Radoslaw Kozuch,77.0,100.0,100.0,100.0,100.0,477.0,0.0,100.0,60.0,37.0,20.0,217.0,0.0,0.0,5.0,100.0,62.0,0.0,18.0,185.0
Radoslaw Rucinski,100.0,60.0,100.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Rafal Chrupala,100.0,50.0,100.0,100.0,100.0,450.0,,,,,,,,,,,,,,
Rafal Gibas,18.0,0.0,60.0,100.0,100.0,278.0,,,,,,,,,,,,,,
Rafal Krzyzaniak,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Rafal Majewski,100.0,70.0,100.0,32.0,100.0,402.0,,,,,,,,,,,,,,
Rafal Pytko,100.0,50.0,100.0,100.0,100.0,450.0,50.0,83.0,50.0,16.0,60.0,209.0,50.0,0.0,5.0,100.0,40.0,0.0,18.0,163.0
Rafal Sokolowski,100.0,50.0,0.0,100.0,0.0,250.0,,,,,,,,,,,,,,
Remigiusz Modrzejewski,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Robert Nasiadek,100.0,70.0,0.0,99.0,0.0,269.0,100.0,56.0,60.0,36.0,100.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Szczelina,100.0,40.0,0.0,100.0,100.0,340.0,,,,,,,,,,,,,,
Roland Plaszowski,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Sebastian Chojniak,100.0,100.0,100.0,100.0,100.0,500.0,100.0,100.0,60.0,16.0,50.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Kochman,100.0,60.0,100.0,100.0,100.0,460.0,100.0,82.0,100.0,8.0,0.0,190.0,40.0,0.0,5.0,100.0,40.0,0.0,18.0,163.0
Sebastian Poreba,100.0,0.0,100.0,93.0,100.0,393.0,,,,,,,,,,,,,,
Slawomir Cygan,91.0,40.0,100.0,100.0,100.0,431.0,,,,,,,,,,,,,,
Slawomir Krysztowiak,81.0,70.0,100.0,100.0,0.0,351.0,,,,,,,,,,,,,,
Slawomir Walkowski,100.0,30.0,100.0,100.0,100.0,430.0,,,,,,,,,,,,,,
Szymon Gizecki,45.0,30.0,100.0,100.0,100.0,375.0,,,,,,,,,,,,,,
Szymon Swierkosz,100.0,0.0,100.0,100.0,20.0,320.0,,,,,,,,,,,,,,
Szymon Wrzyszcz,100.0,90.0,100.0,100.0,100.0,490.0,0.0,100.0,40.0,93.0,50.0,283.0,0.0,0.0,5.0,13.0,100.0,0.0,0.0,118.0
Szymon Zielinski,0.0,0.0,100.0,98.0,100.0,298.0,,,,,,,,,,,,,,
Tomasz Adamski,100.0,60.0,100.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Tomasz Dolny,97.0,70.0,100.0,100.0,100.0,467.0,,,,,,,,,,,,,,
Tomasz Dubrownik,93.0,0.0,100.0,100.0,0.0,293.0,,,,,,,,,,,,,,
Tomasz Duda,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Tomasz Gajewski,0.0,0.0,100.0,100.0,100.0,300.0,,,,,,,,,,,,,,
Tomasz Gorzny,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Tomasz Grabiec,100.0,0.0,60.0,100.0,0.0,260.0,,,,,,,,,,,,,,
Tomasz Kaploniak,100.0,100.0,100.0,100.0,10.0,410.0,,,,,,,,,,,,,,
Tomasz Kleczek,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Tomasz Knypek,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Tomasz Kulczynski,100.0,100.0,100.0,100.0,100.0,500.0,20.0,82.0,100.0,28.0,69.0,279.0,100.0,0.0,8.0,100.0,100.0,100.0,9.0,317.0
Tomasz Lakota,100.0,100.0,100.0,100.0,100.0,500.0,89.0,100.0,40.0,0.0,50.0,190.0,60.0,0.0,10.0,100.0,100.0,0.0,0.0,210.0
Tomasz Owczarzak,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Tomasz Piechota,48.0,40.0,66.0,100.0,10.0,264.0,,,,,,,,,,,,,,
Tomasz Piotrowski,100.0,10.0,100.0,69.0,100.0,379.0,,,,,,,,,,,,,,
Tomasz Roda,18.0,50.0,100.0,100.0,0.0,268.0,,,,,,,,,,,,,,
Tomasz Tretkowski,57.0,0.0,100.0,100.0,70.0,327.0,,,,,,,,,,,,,,
Tomasz Waszewski,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Tomasz Wierzchowski,46.0,0.0,100.0,100.0,0.0,246.0,,,,,,,,,,,,,,
Tomasz Wsul,91.0,40.0,63.0,100.0,0.0,294.0,,,,,,,,,,,,,,
Tomasz Zmarz,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Tomasz Zolnowski,38.0,90.0,10.0,100.0,50.0,288.0,,,,,,,,,,,,,,
Tomek Gogacz,25.0,30.0,0.0,100.0,100.0,255.0,,,,,,,,,,,,,,
Tomek Gorny,100.0,0.0,70.0,100.0,100.0,370.0,,,,,,,,,,,,,,
Waldemar Jarosik,100.0,100.0,100.0,99.0,100.0,499.0,,,,,,,,,,,,,,
Wiktor Sierocinski,100.0,0.0,100.0,100.0,80.0,380.0,,,,,,,,,,,,,,
Wladyslaw Kwasnicki,100.0,50.0,100.0,100.0,100.0,450.0,,,,,,,,,,,,,,
Wojciech Adamek,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Wojciech Baranowski,67.0,80.0,100.0,100.0,70.0,417.0,,,,,,,,,,,,,,
Wojciech Budniak,51.0,0.0,100.0,100.0,100.0,351.0,,,,,,,,,,,,,,
Wojciech Leja,100.0,10.0,100.0,61.0,0.0,271.0,39.0,81.0,50.0,8.0,41.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wojciech Lowiec,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Wojciech Smietanka,18.0,90.0,100.0,100.0,0.0,308.0,100.0,73.0,100.0,0.0,55.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wojciech Tyczynski,100.0,50.0,100.0,100.0,100.0,450.0,30.0,100.0,60.0,51.0,50.0,261.0,10.0,0.0,5.0,6.0,100.0,0.0,18.0,129.0
Wojciech Zaleski,99.0,40.0,100.0,100.0,0.0,339.0,,,,,,,,,,,,,,
